date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:15:15	15948/15948	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	(from https://www.classcentral.com/)
22:15:16	6696/6696	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:49:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
22:15:16	9540/9540	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://www.classcentral.com/)
22:15:16	7360/7360	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
22:15:16	8280/8280	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
22:15:16	5676/5676	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://www.classcentral.com/)
22:15:17	14808/14808	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:49:15%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
22:15:17	15764/15764	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
22:15:17	990/990	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Feb%202023%2010:43:14%20GMT	https://www.classcentral.com/images/fade-gradient.png	C:/My%20Web%20Sites/Deneme%206/www.classcentral.com/images/fade-gradient.png	(from https://www.classcentral.com/)
22:15:17	50234/50234	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Deneme%206/www.google-analytics.com/analytics.js	(from https://www.classcentral.com/)
